filename,full_path,fault_cause,folder_name,upt,year,month,equipment_type
20240604_132402_186_r174.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,LAYANG-LAYANG,04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
UBRNG-SMDNG #2.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG\04062024\olah\UBRNG-SMDNG #2.cfg,LAYANG-LAYANG,04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
20240604_132402_186_r174.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,LAYANG-LAYANG,04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
UBRNG-SMDNG #2.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG\04062024\olah\UBRNG-SMDNG #2.cfg,LAYANG-LAYANG,04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
20240604_132402_186_r174.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,LAYANG-LAYANG,04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
UBRNG-SMDNG #2.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG\04062024\olah\UBRNG-SMDNG #2.cfg,LAYANG-LAYANG,04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
20240604_132402_186_r174.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,LAYANG-LAYANG,04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
UBRNG-SMDNG #2.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\06. JUNI\04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG\04062024\olah\UBRNG-SMDNG #2.cfg,LAYANG-LAYANG,04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG,UPT BANDUNG,2024,06. JUNI,TRANSMISSION_LINE
28_1511202465026310_FRA00028.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\28_1511202465026310_FRA00028.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
29_1511202465027983_FRA00029.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\29_1511202465027983_FRA00029.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
30_1511202465033983_FRA00030.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\30_1511202465033983_FRA00030.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
31_1511202465037958_FRA00031.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\31_1511202465037958_FRA00031.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
32_151120247341358_FRA00032.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\32_151120247341358_FRA00032.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
Gangguan GITET BDSLN - DEPOK 15-11-2024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\Gangguan GITET BDSLN - DEPOK 15-11-2024.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
28_1511202465026310_FRA00028.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\28_1511202465026310_FRA00028.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
29_1511202465027983_FRA00029.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\29_1511202465027983_FRA00029.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
30_1511202465033983_FRA00030.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\30_1511202465033983_FRA00030.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
31_1511202465037958_FRA00031.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\31_1511202465037958_FRA00031.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
32_151120247341358_FRA00032.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\32_151120247341358_FRA00032.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
Gangguan GITET BDSLN - DEPOK 15-11-2024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\Gangguan GITET BDSLN - DEPOK 15-11-2024.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
DR BDSLN-DEPOK 15-11-2024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024\DR BDSLN-DEPOK 15-11-2024.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
DR BDSLN-DEPOK MAIN B KE 2.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024\DR BDSLN-DEPOK MAIN B KE 2.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
DR BDSLN-DEPOK 15-11-2024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024\DR BDSLN-DEPOK 15-11-2024.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
DR BDSLN-DEPOK MAIN B KE 2.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024\DR BDSLN-DEPOK MAIN B KE 2.CFG,PETIR,REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR,UPT BANDUNG,2024,11. NOVEMBER,TRANSMISSION_LINE
FR000001.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\010424\FR000001.cfg,PETIR,20240401_Reclose Juishin - Cileungsi_Petir BFO,UPT BEKASI,2024,Apr 2024,TRANSMISSION_LINE
Reclose_Bay_Juishin_phasa_T_01042024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\Reclose_Bay_Juishin_phasa_T_01042024\Reclose_Bay_Juishin_phasa_T_01042024.CFG,PETIR,20240401_Reclose Juishin - Cileungsi_Petir BFO,UPT BEKASI,2024,Apr 2024,TRANSMISSION_LINE
FR000001.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\010424\FR000001.cfg,PETIR,20240401_Reclose Juishin - Cileungsi_Petir BFO,UPT BEKASI,2024,Apr 2024,TRANSMISSION_LINE
Reclose_Bay_Juishin_phasa_T_01042024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\Reclose_Bay_Juishin_phasa_T_01042024\Reclose_Bay_Juishin_phasa_T_01042024.CFG,PETIR,20240401_Reclose Juishin - Cileungsi_Petir BFO,UPT BEKASI,2024,Apr 2024,TRANSMISSION_LINE
Reclose_Bay_Juishin_phasa_R_25022024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Feb 2024\25022024 Reclose Juishin - Cileungsi_PETIR\GI Cileungsi Reclose bay Juishin Phasa R 26 Feb 2024\reclose juishin phasa r\Reclose_Bay_Juishin_phasa_R_25022024.CFG,PETIR,25022024 Reclose Juishin - Cileungsi_PETIR,UPT BEKASI,2024,Feb 2024,TRANSMISSION_LINE
Reclose_Bay_Juishin_phasa_R_25022024.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BEKASI\2024\Feb 2024\25022024 Reclose Juishin - Cileungsi_PETIR\GI Cileungsi Reclose bay Juishin Phasa R 26 Feb 2024\reclose juishin phasa r\Reclose_Bay_Juishin_phasa_R_25022024.CFG,PETIR,25022024 Reclose Juishin - Cileungsi_PETIR,UPT BEKASI,2024,Feb 2024,TRANSMISSION_LINE
"250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg","C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR\250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg",PETIR,20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
"250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg","C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR\250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg",PETIR,20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
GGN200225 OK.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\GGN200225 OK.CFG,PETIR,20250225_GI CIBADAK BARU BAY PRATU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
Tuesday 25 February 2025 19.21.25.000.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\Tuesday 25 February 2025 19.21.25.000.CFG,PETIR,20250225_GI CIBADAK BARU BAY PRATU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
GGN200225 OK.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\GGN200225 OK.CFG,PETIR,20250225_GI CIBADAK BARU BAY PRATU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
Tuesday 25 February 2025 19.21.25.000.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\Tuesday 25 February 2025 19.21.25.000.CFG,PETIR,20250225_GI CIBADAK BARU BAY PRATU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
250225.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GIS PRATU BAY CIBADAK BARU#1_PETIR\250225.CFG,PETIR,20250225_GIS PRATU BAY CIBADAK BARU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
250225.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BOGOR\2025\02. FEBRUARI\20250225_GIS PRATU BAY CIBADAK BARU#1_PETIR\250225.CFG,PETIR,20250225_GIS PRATU BAY CIBADAK BARU#1_PETIR,UPT BOGOR,2025,02. FEBRUARI,TRANSMISSION_LINE
PCS900_RCD_01065_20240102_212020_415.CFG,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR\GI SRAGI\PHT. 1\PCS900_RCD_01065_20240102_212020_415.CFG",PETIR,"01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
Tuesday 02 January 2024 21.30.27.000.CFG,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR\GI SRAGI\PHT. 2\Tuesday 02 January 2024 21.30.27.000.CFG",PETIR,"01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
PCS900_RCD_01065_20240102_212020_415.CFG,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR\GI SRAGI\PHT. 1\PCS900_RCD_01065_20240102_212020_415.CFG",PETIR,"01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
Tuesday 02 January 2024 21.30.27.000.CFG,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR\GI SRAGI\PHT. 2\Tuesday 02 January 2024 21.30.27.000.CFG",PETIR,"01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
PCS900_RCD_01330_20240109_165250_112.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\04. RECLOSE JTGEDE-RCEKEK 2 (9 JAN 2024)_PETIR\GI JATIGEDE\PHT 2\PCS900_RCD_01330_20240109_165250_112.CFG,PETIR,04. RECLOSE JTGEDE-RCEKEK 2 (9 JAN 2024)_PETIR,UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
PCS900_RCD_01330_20240109_165250_112.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\04. RECLOSE JTGEDE-RCEKEK 2 (9 JAN 2024)_PETIR\GI JATIGEDE\PHT 2\PCS900_RCD_01330_20240109_165250_112.CFG,PETIR,04. RECLOSE JTGEDE-RCEKEK 2 (9 JAN 2024)_PETIR,UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
ZQ79.cfg,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\05. RECLOSE MDRCN-SRAGI 1,2 (11 JAN 2024)_PETIR\GI MDRCN\DFR EKSTERNAL SRAGI 1,2\ZQ79.cfg",PETIR,"05. RECLOSE MDRCN-SRAGI 1,2 (11 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
ZQ79.cfg,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\05. RECLOSE MDRCN-SRAGI 1,2 (11 JAN 2024)_PETIR\GI MDRCN\DFR EKSTERNAL SRAGI 1,2\ZQ79.cfg",PETIR,"05. RECLOSE MDRCN-SRAGI 1,2 (11 JAN 2024)_PETIR",UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
PCS900_RCD_01331_20240131_154628_272.CFG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT CIREBON\2024\01. JANUARI\10. RECLOSE JTGEDE-RCEKEK 2 (31 JAN 2024)_PETIR\GI JATIGEDE\PCS900_RCD_01331_20240131_154628_272.CFG,PETIR,10. RECLOSE JTGEDE-RCEKEK 2 (31 JAN 2024)_PETIR,UPT CIREBON,2024,01. JANUARI,TRANSMISSION_LINE
